	gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
1	ENSG00000000003	118.541676922981	-0.190382341204043	0.299668170684983	0.282664187663797	0.70154823996771
2	ENSG00000000005	0	NA	NA	NA	NA
3	ENSG00000000419	189.208822923679	0.0055737124647239	0.235870401977868	0.97226850868475	0.994467692730293
4	ENSG00000000457	63.0539697334468	0.0496660048830941	0.29115965292559	0.739384894465156	0.950456779458132
5	ENSG00000000460	76.5240811047769	-0.323458117712895	0.416263397864383	0.0962841020384393	0.43152012229696
6	ENSG00000000938	6.35276128433686	0.0372042027544287	0.33067977594494	0.570365620471802	NA
7	ENSG00000000971	245.822982832776	-1.03786279235176	0.945335985802213	0.00825833234668296	0.100212363702204
8	ENSG00000001036	582.785147774279	-0.212556418743986	0.215025218020882	0.20827429141363	0.614950796417001
9	ENSG00000001084	141.291326778547	-0.0113901305324771	0.269206634425289	0.940416318253182	0.988625633075888
10	ENSG00000001167	216.704758172285	0.813310969508005	0.350058203264653	0.0020658375899287	0.0381493709344806
11	ENSG00000001460	63.1322382546411	-0.0871502926405427	0.296355348429318	0.563709766492769	0.891174251337267
12	ENSG00000001461	270.764259754846	-0.0195509836318676	0.227089606105603	0.903906049992972	0.980346790654315
13	ENSG00000001497	355.190019745663	-0.149657541317518	0.219278417536057	0.373905024734592	0.777667664927165
14	ENSG00000001561	7.6118066361652	-0.036769133424771	0.329279168789189	0.600378512405829	0.905131380632959
15	ENSG00000001617	64.6774191222605	0.117838848590934	0.306084107527716	0.446752295071226	0.827491360430752
16	ENSG00000001626	0	NA	NA	NA	NA
17	ENSG00000001629	448.955996513232	0.354989580447625	0.294587851644161	0.0780100486690353	0.385264618189569
18	ENSG00000001630	364.471693596949	-0.67104635104966	0.269763472019961	0.00194073286160177	0.0367504166188635
19	ENSG00000001631	133.153317767307	-0.022120933376526	0.254870897127884	0.891153141510356	0.97948629018725
20	ENSG00000002016	64.4920227765636	-0.118970723859192	0.302925249029963	0.445945874124039	0.827030462767049
21	ENSG00000002079	1.73378580575764	-0.0122288765315205	0.332908411707812	0.710988668704897	NA
22	ENSG00000002330	72.5718803116528	0.100542382985184	0.315143909762162	0.471515003648655	0.843428622941738
23	ENSG00000002549	303.483512423454	-0.122744319867146	0.227413643742021	0.467794509594512	0.842038814948313
24	ENSG00000002586	935.718977980614	0.31397312323756	0.202943440377795	0.0595975874251464	0.334507909861804
25	ENSG00000002587	4.80814400751685	-0.0321133170369578	0.334796166107664	0.373087030409125	NA
26	ENSG00000002726	0.751656104006643	0.00620609358299494	0.333371810327429	0.802139562018275	NA
27	ENSG00000002745	0	NA	NA	NA	NA
28	ENSG00000002746	52.6375162540291	0.0133122441522441	0.290596851840511	0.930125468044808	0.987615689077369
29	ENSG00000002822	148.663944191749	-0.407133430721925	0.4444377558402	0.0625972845148959	0.343649126938292
30	ENSG00000002834	1629.06986844925	0.42970095142196	0.157403816157524	0.00233769776365351	0.0419606430868146
31	ENSG00000002919	64.303373573158	0.0351960809510371	0.292751017700796	0.809606769719819	0.964438092677912
32	ENSG00000002933	0	NA	NA	NA	NA
33	ENSG00000003056	733.487690913532	-0.421181917327755	0.439126395640301	0.058200555906439	0.33121978391321
34	ENSG00000003096	12.4819512855996	-0.0502854215122865	0.332579075043749	0.457978942325285	0.83571874408749
35	ENSG00000003137	96.0884681618739	0.0816876693378203	0.296040012297859	0.590238089048775	0.901074759996983
36	ENSG00000003147	0.25	0.0107404406769818	0.334114676617603	0.760944501927839	NA
37	ENSG00000003249	6.70301352127957	-0.01929143883206	0.327429929843427	0.777176194983763	NA
38	ENSG00000003393	49.1309234789575	-0.374459166731899	0.563344116979439	0.0437686021693706	0.280252938946838
39	ENSG00000003400	75.5077768478092	-0.314361759150476	0.405921430915632	0.102622980797506	0.445889959911998
40	ENSG00000003402	239.954217529733	-0.246716169855485	0.270878699867239	0.184181351607557	0.584725979463118
41	ENSG00000003436	556.226571081942	-0.040905396721876	0.211008082075124	0.801171511566654	0.96226102547744
42	ENSG00000003509	100.079761016868	-0.0517606037668566	0.281221769939019	0.736948554973015	0.950049519146193
43	ENSG00000003756	576.473059146499	0.272680548890856	0.259021498720292	0.143345335418701	0.522668390701304
44	ENSG00000003987	4.98549652333296	0.0142275668472601	0.32852348065563	0.823439490199981	NA
45	ENSG00000003989	79.246177254785	-0.386854980748584	0.505376954643114	0.0588718544374919	0.332879246798138
46	ENSG00000004059	359.143147295541	0.108204473532861	0.226244427853206	0.523885015013486	0.872428338384979
47	ENSG00000004139	161.343619172453	0.171136641963656	0.308298206088051	0.317308547001031	0.736818170163719
48	ENSG00000004142	706.103676960343	0.149380411822263	0.184669047940441	0.334813165303349	0.750154351476132
49	ENSG00000004399	203.167119062652	-0.503671915138314	0.351602247732662	0.0283383098183856	0.214353438019375
50	ENSG00000004455	757.127541789378	0.212828501489964	0.269400005703162	0.244811676580587	0.661004493640468
51	ENSG00000004468	2.9113404911038	0.0173746425338969	0.334759882331378	0.266692981939567	NA
52	ENSG00000004478	647.091285758123	-0.257781702387107	0.239166806659944	0.150067653940198	0.532529330115502
53	ENSG00000004487	655.487343899277	0.133588662793073	0.21283043087248	0.4234995838683	0.813475143245643
54	ENSG00000004534	339.450984968005	0.460640039876526	0.256903775255743	0.019786301069821	0.173537206857081
55	ENSG00000004660	72.9392677048714	-0.0122827540748001	0.278452975275462	0.933891202763206	0.988364030812252
56	ENSG00000004700	553.212556666669	-0.111135007367143	0.203515180613554	0.493528117976096	0.855128330039167
57	ENSG00000004766	83.181679947952	-0.197287434611448	0.320182593404986	0.256559484542747	0.674772302842103
58	ENSG00000004776	0.779334634746145	0.0136787092536552	0.334409585258947	0.5192143120453	NA
59	ENSG00000004777	24.2141490059967	-0.113916220581368	0.335684260552414	0.334319927098357	0.750031413849767
60	ENSG00000004779	281.12411704317	-0.157004229909883	0.263965764155793	0.370962490273415	0.776046152885918
61	ENSG00000004799	104.697110051923	0.902633473931431	0.481668277518449	0.00437863448490439	0.0645859930136052
62	ENSG00000004809	0.236988786633571	-0.0108991686784569	0.334139399913693	0.787758103807446	NA
63	ENSG00000004838	10.1581729593845	0.0968533316181415	0.345635422859015	0.213981188529439	0.621381559081294
64	ENSG00000004846	1.02607704030154	0.0112783984400763	0.333450724965742	0.671651316928529	NA
65	ENSG00000004848	0	NA	NA	NA	NA
66	ENSG00000004864	87.5323433889325	-0.0278488457209504	0.27566336407989	0.856471702086685	0.974063105399537
67	ENSG00000004866	68.5964219290294	0.0142161632433903	0.289390862038544	0.92494224251954	0.985598733345047
68	ENSG00000004897	894.433091659604	0.11760925863021	0.241028532815954	0.494901972986806	0.855648800163516
69	ENSG00000004939	1.73378580575764	-0.0122288765315205	0.332908411707812	0.710988668704897	NA
70	ENSG00000004948	1.28748676323	0.00352734377848584	0.333380354094112	0.882581889401094	NA
71	ENSG00000004961	152.943422805069	0.103739331746977	0.262860506594035	0.543305955955328	0.879897255326902
72	ENSG00000004975	148.484333883117	0.0805040015456411	0.25418446141114	0.635443765745395	0.918338273150907
73	ENSG00000005001	0	NA	NA	NA	NA
74	ENSG00000005007	403.312517395298	0.184219760972363	0.235992134476489	0.292731750642363	0.711425751882965
75	ENSG00000005020	273.176549253231	0.14850705429575	0.228691220642987	0.386779146264552	0.78817671695485
76	ENSG00000005022	3918.41663743146	-0.0495015138392138	0.131943406017591	0.68195336358683	0.934394513061385
77	ENSG00000005059	135.110503044812	-0.041721185971127	0.285806029983811	0.779341441445827	0.959432288707513
78	ENSG00000005073	1.2044511710115	-0.0163462738265209	0.334627633979089	0.416930315529987	NA
79	ENSG00000005075	120.771101167142	-0.0292927438250154	0.276189774258439	0.848974432066107	0.973176057453438
80	ENSG00000005100	195.387572661501	-0.251952899957879	0.274835106371018	0.177527407189713	0.575601724565173
81	ENSG00000005102	0.246742405555392	-0.0109897427016978	0.334146899777605	0.783153151673182	NA
82	ENSG00000005108	11.8341798393271	-0.105732090106509	0.346982610253334	0.217248526757852	0.625415192078824
83	ENSG00000005156	214.01118106022	-0.0733002159861462	0.241393201186884	0.662471703091009	0.927564649006239
84	ENSG00000005175	211.668176003299	0.294368677428443	0.308044115128111	0.133833417436533	0.50316557416577
85	ENSG00000005187	51.7345396578148	-0.197218431241277	0.407146549547956	0.0532315837848625	0.315576161430126
86	ENSG00000005189	53.8843669581874	-0.215558901330928	0.35833888057294	0.19124452510068	0.59175792810127
87	ENSG00000005194	213.982178991391	0.608711117380206	0.357056235143107	0.0127851242460455	0.132416287193672
88	ENSG00000005206	143.254152582353	0.167959719521216	0.322367900712543	0.302595879766253	0.723582745327449
89	ENSG00000005238	48.8699498838135	0.0360292209833818	0.302774741658352	0.78743607475326	0.960022759226729
90	ENSG00000005243	42.556588249812	-0.0320080809404539	0.308729515778182	0.789488492360735	0.960022759226729
91	ENSG00000005302	330.959666029916	-0.0724887000247282	0.236800854308363	0.666409433881357	0.929555516956054
92	ENSG00000005339	177.668624098035	0.0108513147524274	0.265596270236695	0.949182999168666	0.990528523938675
93	ENSG00000005379	0.995140915117428	-0.00989627076264629	0.333384185358672	0.709751404633875	NA
94	ENSG00000005381	0	NA	NA	NA	NA
95	ENSG00000005421	0	NA	NA	NA	NA
96	ENSG00000005436	81.7414763990431	0.0593252924958204	0.28241128679004	0.706290113382421	0.942343613905843
97	ENSG00000005448	206.269142537843	0.0386031409901083	0.238668041655916	0.820054354800355	0.966359275290028
98	ENSG00000005469	69.5051441456017	0.0787235660265539	0.287983280211579	0.616027149202551	0.912278342500777
99	ENSG00000005471	8.87880287548172	0.138566901877127	0.371927607604831	0.0445295256741913	0.28254868864023
100	ENSG00000005483	239.108229145919	-0.141807871430179	0.240026258569906	0.410918841522117	0.805317195404903
101	ENSG00000005486	148.657431184807	0.162749405629066	0.28187104244324	0.354705673026752	0.765215092431661
102	ENSG00000005513	0	NA	NA	NA	NA
103	ENSG00000005801	113.271751941	-0.107403183425064	0.274452618557943	0.519778791397456	0.870005634714801
104	ENSG00000005810	189.038580409564	-0.10251555263936	0.286534846950587	0.524301072480836	0.872551424512374
105	ENSG00000005812	108.068476628713	0.0497729180568115	0.276007992787207	0.756350501959959	0.953526880256626
106	ENSG00000005844	0.236988786633571	-0.0108991686784569	0.334139399913693	0.787758103807446	NA
107	ENSG00000005882	69.9104190747423	-0.120676898347915	0.313577819015789	0.416108153179057	0.810133149001601
108	ENSG00000005884	2540.51937518956	0.454342690972213	0.39405366343499	0.0469942546694959	0.292486323115699
109	ENSG00000005889	282.869813484402	-0.0139249260283306	0.275552681295381	0.925747237246899	0.985792337470813
110	ENSG00000005893	1805.89181723699	0.169039328681302	0.153513670248115	0.215051550011591	0.622729120679323
111	ENSG00000005961	4.49206632579086	-0.00453215802828218	0.3300002846875	0.927314730986735	NA
112	ENSG00000005981	2.23544190976428	-0.0103910057674426	0.332465647109838	0.771505645524142	NA
113	ENSG00000006007	258.738992981975	0.0954754521915098	0.244336132773302	0.577445699361804	0.897011995343714
114	ENSG00000006015	52.0408244339213	0.0569141924020932	0.322942256376364	0.583734685382439	0.898830097750436
115	ENSG00000006016	4.1443088026306	-0.00932333316753339	0.330677245628705	0.846237896001942	NA
116	ENSG00000006025	111.917091145296	0.486347397215502	0.612916117251759	0.0371890106234827	0.252070655816501
117	ENSG00000006042	87.1653143895466	-0.563104317102103	0.577514057759089	0.0293782224054546	0.219051659360524
118	ENSG00000006059	0	NA	NA	NA	NA
119	ENSG00000006062	69.9283487232961	0.318710148257153	0.410800414051602	0.101795221601242	0.444028130060776
120	ENSG00000006071	2	0.0150057844744372	0.334581927490561	0.350666160969984	NA
121	ENSG00000006116	0.246742405555392	-0.0109897427016978	0.334146899777605	0.783153151673182	NA
122	ENSG00000006118	232.766242220568	0.302191400199467	0.284808366937112	0.11979487651016	0.481070229806281
123	ENSG00000006125	2555.43774131074	-0.180093524163427	0.361075162803972	0.19754818350324	0.601334703564512
124	ENSG00000006128	0	NA	NA	NA	NA
125	ENSG00000006194	105.971966039699	0.0670207407805566	0.267911605870181	0.685422341024566	0.935228297751502
126	ENSG00000006210	1.73696962222157	-0.00235023131206041	0.333163049041072	0.926103015161218	NA
127	ENSG00000006282	244.223827425275	0.355290526217105	0.319366671734831	0.0842857361386573	0.403646487203033
128	ENSG00000006283	2.72727061686843	-0.0161040511369446	0.331045833810266	0.742124241955598	NA
129	ENSG00000006327	132.036712483888	0.179747973969138	0.363796811826253	0.193688568087898	0.596358009552917
130	ENSG00000006377	0.25	0.0107404406769818	0.334114676617603	0.760944501927839	NA
131	ENSG00000006432	48.5737674942465	0.0983034969070422	0.314623158850341	0.479496339249187	0.846687866626093
132	ENSG00000006451	276.566669690013	-0.0820371020153429	0.227550484543087	0.624084365323795	0.915701149986486
133	ENSG00000006453	97.6471046200432	0.0303164740580439	0.274154007378257	0.850342709750554	0.973309913629648
134	ENSG00000006459	60.5915484164709	0.160687928355452	0.360390207394693	0.197751700679855	0.601452501597662
135	ENSG00000006468	307.477672902829	0.31369368741184	0.289334098242544	0.109969532332848	0.460926479159527
136	ENSG00000006530	196.668142682384	0.0722756627250252	0.246885404002856	0.670355256221269	0.930975524035843
