UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	2
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	2
0	0
0	0
0	0
0	1
2	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	0
0	0
0	3
0	4
0	3
0	3
0	4
0	3
0	0
0	3
0	4
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
0	3
0	3
0	2
0	3
0	3
0	3
0	0
0	3
0	3
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	3
0	2
0	3
0	3
0	3
0	3
0	7
0	3
0	4
0	4
0	3
0	3
0	3
0	11
0	133
0	0
0	0
0	0
0	0
0	49
0	66
0	65
0	0
0	0
0	2
0	3
0	3
0	7
0	3
0	2
0	0
0	0
0	0
0	0
1	237
0	0
0	0
0	0
0	30
1	275
0	0
0	4
0	4
0	0
0	20
0	0
0	4
0	4
0	4
1	60
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	5
0	3
0	5
1	0
0	1
0	0
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
8	2
0	0
0	1
0	0
0	1
0	1
0	0
0	2
0	1
0	0
0	9
0	0
0	0
0	0
0	0
0	517
0	517
0	0
0	0
0	0
0	0
0	0
0	14
0	0
